KOD POCZTOWY;ADRES;MIEJSCOWOŚĆ;WOJEWÓDZTWO;POWIAT
15-774;ul. Kołłątaja Hugo;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-775;Poczta Białystok 031, ul. Konstytucji 3 Maja 22;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-776;ul. Konstytucji 3 Maja;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-777;ul. Działkowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-778;ul. Przycmentarna;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-779;ul. Herberta Zbigniewa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-779;ul. Mackiewicza Józefa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-780;ul. Scaleniowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-782;ul. Budowlana;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-784;ul. Pomiarowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-786;ul. Dziecinna;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-788;ul. Blokowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-790;ul. Pochyła;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-791;ul. Daktylowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-791;ul. Figowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-792;Poczta Białystok 016, ul. Broniewskiego 4;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-793;ul. Jarzębinowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-794;ul. Gajowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-795;ul. Palmowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-795;ul. Wiśniowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-796;ul. Bukowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-797;ul. Kokosowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-797;ul. Oliwkowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-798;ul. Cedrowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-801;ul. Akacjowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-801;ul. Dębowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-802;ul. Morelowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-803;ul. Kasztanowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-803;ul. Malinowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-805;ul. Jodłowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-806;ul. Dziesięciny;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-807;Poczta Białystok 022, ul. Dziesięciny 45;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-808;ul. Jaworowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-809;ul. Brzozowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-809;ul. Kalinowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-810;ul. Jałowcowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-811;ul. Leszczynowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-812;ul. Cisowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-813;ul. Wrzosowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-814;ul. Generała Berlinga Zygmunta;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-814;ul. Jaśminowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-815;ul. Porzeczkowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-817;ul. Świętego Kazimierza;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-818;ul. Jesionowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-819;ul. Winogronowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-820;ul. Zagórna;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-821;Poczta Białystok 011, ul. Zagórna 2 B;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-821;Skrytki Pocztowe Poczta Białystok 011, ul. Zagórna 2 B;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-822;ul. Cyprysowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-822;ul. Orzechowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-822;ul. Wiązowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-825;ul. Stalowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-827;ul. Wiatrakowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-829;ul. Wysoka;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-831;ul. Zielone Wzgórze;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-833;ul. Widok;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-836;ul. Ukośna;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-837;ul. Owsiana;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-839;ul. Głowackiego Bartosza;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-840;ul. Narewska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-843;ul. Świętokrzyska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-845;ul. Antoniukowska od 2 do ostatniego;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-850;ul. Sitarska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-852;ul. Bielska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-854;ul. Hajnowska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-856;ul. Siemiatycka;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-858;ul. Giżycka;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-859;Poczta Białystok 019, ul. Białostoczek 21;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-860;ul. Olecka;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-861;ul. Gołdapska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-862;ul. Suwalska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-863;ul. Radzymińska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-864;ul. Buska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-865;ul. Sokólska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-866;ul. Zagumienna;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-867;ul. Brzeska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-868;ul. Kozłowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-869;ul. Białostoczek;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-870;ul. Olsztyńska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-871;ul. Księdza Abramowicza Adama;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-872;ul. Dąbrowskiego Jana Henryka;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-873;ul. Bohaterów Monte Cassino;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-874;ul. Botaniczna;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-874;ul. Poleska od 48 do ostatniego, od 73 do ostatniego;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-875;ul. Artyleryjska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-875;ul. Kalinowskiego Konstantego;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-875;ul. Krakowska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-875;ul. Północna od 1 do 1;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-879;ul. Stołeczna;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-879;ul. Świętego Rocha;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-880;Poczta Białystok 017, ul. Stołeczna 25;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-881;ul. Marmurowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-881;ul. Sukienna;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-883;ul. Równoległa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-887;ul. Sosnowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-888;ul. Kardynała Wyszyńskiego Stefana;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-889;ul. Brukowa;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-891;ul. Bliska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-891;ul. Ciechanowska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-893;ul. Grunwaldzka;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-895;ul. Opatowska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-896;ul. Bażantarska od 9 do ostatniego;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-896;ul. Kaliska;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-900;Poczta Białystok 002, ul. Kolejowa 15;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-950;Skrytki Pocztowe Poczta Białystok 001, ul. Warszawska 10;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-951;Instytucja ZUS oddział Białystok, ul. Młynowa 29;Białystok;podlaskie;Miasto Białystok na prawach powiatu
15-959;Skrytki Pocztowe Poczta Białystok 002, ul. Kolejowa 15;Białystok;podlaskie;Miasto Białystok na prawach powiatu
16-001;Poczta Kleosin, ul. Ojca Tarasiuka 20 A;Kleosin;podlaskie;Powiat białostocki
16-002;Poczta Dobrzyniewo Kościelne, ul. Dobrzyniewo Kościelne 38;Dobrzyniewo Kościelne;podlaskie;Powiat białostocki
16-010;Poczta Wasilków, ul. Nadrzeczna 1;Wasilków;podlaskie;Powiat białostocki
16-020;Poczta Czarna Białostocka, ul. Sienkiewicza 1 C;Czarna Białostocka;podlaskie;Powiat białostocki
16-030;Poczta Supraśl, ul. Cieliczańska;Supraśl;podlaskie;Powiat białostocki
16-040;Poczta Gródek, ul. Chodkiewiczów 69;Gródek;podlaskie;Powiat białostocki
16-050;Poczta Michałowo, ul. Białostocka 3;Michałowo;podlaskie;Powiat białostocki
16-060;Poczta Zabłudów, ul. Surażska 2;Zabłudów;podlaskie;Powiat białostocki
16-061;Poczta Juchnowiec Kościelny, ul. Kościelna 1;Juchnowiec Kościelny;podlaskie;Powiat białostocki
16-070;Poczta Choroszcz, ul. Powstanie Styczniowego 26;Choroszcz;podlaskie;Powiat białostocki
16-075;Poczta Zawady, ul. Akacjowa 3;Zawady;podlaskie;Powiat białostocki
16-080;Poczta Tykocin, ul. 11 Listopada 36;Tykocin;podlaskie;Powiat białostocki
16-100;Poczta Sokółka 001, ul. Grodzieńska 25;Sokółka;podlaskie;Powiat sokólski
16-100;Skrytki Pocztowe Poczta Sokółka 001, ul. Grodzieńska 25;Sokółka;podlaskie;Powiat sokólski
16-101;Poczta Sokółka 003, Osiedle Zielone 3;Sokółka;podlaskie;Powiat sokólski
16-113;Poczta Szudziałowo, ul. Centralna 28;Szudziałowo;podlaskie;Powiat sokólski
16-120;Poczta Krynki, ul. Piłsudskiego 10;Krynki;podlaskie;Powiat sokólski
16-123;Poczta Kuźnica, ul. Sokólska 18;Kuźnica;podlaskie;Powiat sokólski
16-124;Poczta Sidra, ul. Rynek 3;Sidra;podlaskie;Powiat sokólski
16-130;Poczta Janów, ul. Sokólska 9;Janów;podlaskie;Powiat sokólski
16-140;Poczta Korycin, ul. Knyszyńska 2;Korycin;podlaskie;Powiat sokólski
16-150;Poczta Suchowola, Pl. Kościuszki 27;Suchowola;podlaskie;Powiat sokólski
16-200;Poczta Dąbrowa Białostocka, Pl. Kościuszki 5;Dąbrowa Białostocka;podlaskie;Powiat sokólski
16-205;Poczta Nowy Dwór, Pl. Rynkowy 12;Nowy Dwór;podlaskie;Powiat sokólski
16-300;Poczta Augustów 001, ul. Rynek Zygmunta Augusta 3;Augustów;podlaskie;Powiat augustowski
16-300;Skrytki Pocztowe Poczta Augustów 001, ul. Rynek Zygmunta Augusta 3;Augustów;podlaskie;Powiat augustowski
16-301;Poczta Augustów 003, ul. Komunalna 2;Augustów;podlaskie;Powiat augustowski
16-302;Poczta Augustów 004, ul. Partyzantów 42;Augustów;podlaskie;Powiat augustowski
16-303;Poczta Augustów 005, ul. Hoża 2 a;Augustów;podlaskie;Powiat augustowski
16-303;Skrytki Pocztowe Poczta Augustów 005, ul. Hoża 2 a;Augustów;podlaskie;Powiat augustowski
16-304;Poczta Nowinka;Nowinka;podlaskie;Powiat augustowski
16-310;Poczta Sztabin, ul. Augustowska 60;Sztabin;podlaskie;Powiat augustowski
16-315;Poczta Lipsk nad Biebrzą, ul. Żłobikowskiego 2;Lipsk;podlaskie;Powiat augustowski
16-320;Poczta Bargłów, ul. Augustowska 4;Bargłów Kościelny;podlaskie;Powiat augustowski
16-326;Poczta Płaska;Płaska;podlaskie;Powiat augustowski
16-400;Instytucja Rejonowy Urząd Poczty w Suwałkach, ul. Generała Kazimierza Pułaskiego 52;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-400;Poczta Suwałki 001, ul. Generała Kazimierza Pułaskiego 52;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-400;Skrytki Pocztowe Poczta Suwałki 001, ul. Generała Kazimierza Pułaskiego 52;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-401;Poczta Suwałki 003, ul. Sejneńska 13;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-402;Poczta Suwałki 004, ul. Kościuszki 25;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-402;Skrytki Pocztowe Poczta Suwałki 004, ul. Kościuszki 25;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-404;Poczta Jeleniewo, ul. Słoneczna 5;Jeleniewo;podlaskie;Powiat suwalski
16-406;Poczta Rutka-Tartak, ul. 3-go Maja 14;Rutka-Tartak;podlaskie;Powiat suwalski
16-407;Poczta Wiżajny, ul. Osiedle Wistuć 3/8;Wiżajny;podlaskie;Powiat suwalski
16-411;Poczta Szypliszki, ul. Suwalska 25;Szypliszki;podlaskie;Powiat suwalski
16-420;Poczta Raczki, Pl. Kościuszki 37;Raczki;podlaskie;Powiat suwalski
16-423;Poczta Bakałarzewo, ul. Filipowska 3;Bakałarzewo;podlaskie;Powiat suwalski
16-424;Poczta Filipów, ul. 1 Maja 1;Filipów;podlaskie;Powiat suwalski
16-427;Poczta Przerośl, ul. Rynek 27;Przerośl;podlaskie;Powiat suwalski
16-430;Poczta Suwałki 005, ul. Północna 27;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-430;Skrytki Pocztowe Poczta Suwałki 005, ul. Północna 27;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-431;Poczta Suwałki 006, ul. Klonowa 41A;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-431;Skrytki Pocztowe Poczta Suwałki 006, ul. Klonowa 41A;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-432;Poczta Suwałki 007, ul. Noniewicza 10;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-432;Skrytki Pocztowe Poczta Suwałki 007, ul. Noniewicza 10;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-433;Poczta Suwałki 008, ul. Paca 5 G;Suwałki;podlaskie;Miasto Suwałki na prawach powiatu
16-500;Poczta Sejny, ul. Piłsudskiego 24;Sejny;podlaskie;Powiat sejneński
16-503;Poczta Krasnopol, ul. Sienkiewicza 24;Krasnopol;podlaskie;Powiat sejneński
16-506;Poczta Giby;Giby;podlaskie;Powiat sejneński
16-515;Poczta Puńsk, ul. Szkolna 3;Puńsk;podlaskie;Powiat sejneński
17-100;Poczta Bielsk Podlaski 001, ul. Mikołaja Kopernika 5;Bielsk Podlaski;podlaskie;Powiat bielski
17-100;Skrytki Pocztowe Poczta Bielsk Podlaski 001, ul. Mikołaja Kopernika 5;Bielsk Podlaski;podlaskie;Powiat bielski
17-101;Poczta Filia UP Bielsk Podlaski 001, ul. Wojska Polskiego 14;Bielsk Podlaski;podlaskie;Powiat bielski
17-102;Poczta Bielsk Podlaski 004, ul. Adama Mickiewicza 51;Bielsk Podlaski;podlaskie;Powiat bielski
17-106;Poczta Orla, ul. Mickiewicza 5;Orla;podlaskie;Powiat bielski
17-111;Poczta Boćki, ul. Bielska 3;Boćki;podlaskie;Powiat bielski
17-120;Poczta Brańsk, ul. Rynek 6;Brańsk;podlaskie;Powiat bielski
17-123;Poczta Rudka, ul. Łąkowa 1;Rudka;podlaskie;Powiat bielski
17-132;Poczta Wyszki, ul. Piórkowska 4 A;Wyszki;podlaskie;Powiat bielski
17-200;Poczta Hajnówka 001, ul. Aleksandra Zina 4;Hajnówka;podlaskie;Powiat hajnowski
17-200;Skrytki Pocztowe Poczta Hajnówka 001, ul. Aleksandra Zina 4;Hajnówka;podlaskie;Powiat hajnowski
17-201;Poczta Hajnówka 003, ul. Krzywa 17;Hajnówka;podlaskie;Powiat hajnowski
17-204;Poczta Dubicze Cerkiewne, ul. Główna 1/1;Dubicze Cerkiewne;podlaskie;Powiat hajnowski
17-207;Poczta Czyże, ul. Czyże 129;Czyże;podlaskie;Powiat hajnowski
17-210;Poczta Narew, ul. Topolowa 6;Narew;podlaskie;Powiat hajnowski
17-220;Poczta Narewka, ul. Mickiewicza 39;Narewka;podlaskie;Powiat hajnowski
17-230;Poczta Białowieża, ul. Parkowa 2;Białowieża;podlaskie;Powiat hajnowski
17-240;Poczta Czeremcha, ul. Długa 5;Czeremcha;podlaskie;Powiat hajnowski
17-250;Poczta Kleszczele, Pl. Parkowy 34;Kleszczele;podlaskie;Powiat hajnowski
17-300;Poczta Siemiatycze 001, ul. 11 Listopada 2;Siemiatycze;podlaskie;Powiat siemiatycki
17-300;Skrytki Pocztowe Poczta Siemiatycze 001, ul. 11 Listopada 2;Siematycze;podlaskie;Powiat siemiatycki
17-301;Poczta Siemiatycze 004, ul. Generała Berlinga Zygmunta 6 F;Siematycze;podlaskie;Powiat siemiatycki
17-306;Poczta Dziadkowice, ul. Dziadkowice 29;Dziadkowice;podlaskie;Powiat siemiatycki
17-307;Poczta Mielnik, ul. Piaskowa 36 A;Mielnik;podlaskie;Powiat siemiatycki
17-312;Poczta Drohiczyn, ul. Ciechanowiecka 2;Drohiczyn;podlaskie;Powiat siemiatycki
17-315;Poczta Grodzisk, ul. Bielska 5;Grodzisk;podlaskie;Powiat siemiatycki
17-322;Poczta Perlejewo, ul. Perlejewo 10 A;Perlejewo;podlaskie;Powiat siemiatycki
17-330;Poczta Nurzec Stacja, ul. Żerczycka 32 A;Nurzec-Stacja;podlaskie;Powiat siemiatycki
17-332;Poczta Milejczyce, ul. 3 Maja 49;Milejczyce;podlaskie;Powiat siemiatycki
18-100;Poczta Łapy 001, ul. Generała Władysława Sikorskiego 44;Łapy;podlaskie;Powiat białostocki
18-100;Skrytki Pocztowe Poczta Łapy 001, ul. Generała Władysława Sikorskiego 44;Łapy;podlaskie;Powiat białostocki
18-101;Poczta Łapy 003, ul. Marii Konopnickiej 8;Łapy;podlaskie;Powiat białostocki
18-105;Poczta Suraż, ul. 11 Listopada 19;Suraż;podlaskie;Powiat białostocki
18-106;Poczta Turośń Kościelna, ul. Białostocka 7;Turośń Kościelna;podlaskie;Powiat białostocki
18-112;Poczta Poświętne, ul. Poświętne 40;Poświętne;podlaskie;Powiat białostocki
18-200;Poczta Wysokie Mazowieckie, ul. Jagiellońska 55;Wysokie Mazowieckie;podlaskie;Powiat wysokomazowiecki
18-204;Poczta Kobylin Borzymy, ul. Główna 14;Kobylin-Borzymy;podlaskie;Powiat wysokomazowiecki
18-208;Poczta Kulesze Kościelne, ul. Główna 6;Kulesze Kościelne;podlaskie;Powiat wysokomazowiecki
18-210;Poczta Szepietowo, ul. Kardynała Wyszyńskiego 3 D;Szepietowo;podlaskie;Powiat wysokomazowiecki
18-212;Poczta Nowe Piekuty, ul. Główna 23;Nowe Piekuty;podlaskie;Powiat wysokomazowiecki
18-214;Poczta Klukowo, ul. Szkolna 6;Klukowo;podlaskie;Powiat wysokomazowiecki
18-218;Poczta Sokoły, ul. Rynek Mickiewicza 12;Sokoły;podlaskie;Powiat wysokomazowiecki
18-220;Poczta Czyżew, ul. Mały Rynek 2;Czyżew-Osada;podlaskie;Powiat wysokomazowiecki
18-230;Poczta Ciechanowiec, ul. Kościuszki 25;Ciechanowiec;podlaskie;Powiat wysokomazowiecki
18-300;Poczta Zambrów 001, ul. Kościuszki Tadeusza 39;Zambrów;podlaskie;Powiat zambrowski
18-300;Skrytki Pocztowe Poczta Zambrów 001, ul. Kościuszki Tadeusza 39;Zambrów;podlaskie;Powiat zambrowski
18-301;Poczta Zambrów 003, ul. Wojska Polskiego 37 C;Zambrów;podlaskie;Powiat zambrowski
18-301;Skrytki Pocztowe Poczta Zambrów 003, ul. Wojska Polskiego 37 C;Zambrów;podlaskie;Powiat zambrowski
18-305;Poczta Szumowo, ul. 1 Maja 73;Szumowo;podlaskie;Powiat zambrowski
18-312;Poczta Rutki Kossaki, ul. 11 Listopada 7;Rutki-Kossaki;podlaskie;Powiat zambrowski
18-315;Poczta Kołaki, ul. Kościelna 24;Kołaki;podlaskie;Powiat zambrowski
18-400;Instytucja Rejonowy Urząd Poczty w Łomży, ul. Pl.Pocztowy 1;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-400;Poczta Łomża 001, Pl. Pocztowy 1;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-400;Skrytki Pocztowe Poczta Łomża 001, Pl. Pocztowy 1;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-401;Poczta Łomża 003, ul. Juliusza Słowackiego 6A;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-401;Skrytki Pocztowe Poczta Łomża 003, ul. Juliusza Słowackiego 6A;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-402;Poczta Łomża 004, ul. Wojska Polskiego 161;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-402;Skrytki Pocztowe Poczta Łomża 004, ul. Wojska Polskiego 161;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-403;Poczta Łomża 005, ul. Stanisława Małachowskiego 1;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-403;Skrytki Pocztowe Poczta Łomża 005, ul. Stanisława Małachowskiego 1;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-410;Poczta PP Łomża B126, ul. Poznańska 148 B;Łomża;podlaskie;Miasto Łomża na prawach powiatu
18-411;Poczta Śniadowo, ul. Rynek 22;Śniadowo;podlaskie;Powiat łomżyński
18-413;Poczta Miastkowo koło Łomży, ul. Łomżyńska 19;Miastkowo;podlaskie;Powiat łomżyński
18-414;Poczta Nowogród Łomżyński, ul. Zielona 7 a;Nowogród;podlaskie;Powiat łomżyński
18-416;Poczta Zbójna koło Łomży, ul. Łomżyńska 21;Zbójna;podlaskie;Powiat łomżyński
18-420;Poczta Jedwabne, ul. Żwirki i Wigury 3;Jedwabne;podlaskie;Powiat łomżyński
18-421;Poczta Piątnica Poduchowna, ul. Szkolna 13;Piątnica Poduchowna;podlaskie;Powiat łomżyński
18-423;Poczta Przytuły, ul. Nadstawna 2;Przytuły;podlaskie;Powiat łomżyński
18-430;Poczta Wizna, Pl. Kapitana Raginisa 5;Wizna;podlaskie;Powiat łomżyński
18-500;Poczta Kolno, ul. Konopnickiej 2;Kolno;podlaskie;Powiat kolneński
18-505;Poczta Agencja Pocztowa Lachowo;Lachowo;podlaskie;Powiat kolneński
18-507;Poczta Grabowo koło Kolna, ul. 3 Maja 10;Grabowo;podlaskie;Powiat kolneński
18-516;Poczta Mały Płock, ul. Księdza Ciborowskiego 38;Mały Płock;podlaskie;Powiat kolneński
18-520;Poczta Stawiski, ul. Łomżyńska 21;Stawiski;podlaskie;Powiat kolneński
18-525;Poczta Turośl;Turośl;podlaskie;Powiat kolneński
19-100;Poczta Mońki 001, Al. Niepodległości 5;Mońki;podlaskie;Powiat moniecki
19-101;Poczta Mońki 003, ul. Wojska Polskiego 55/4;Mońki;podlaskie;Powiat moniecki
19-104;Poczta Trzcianne, ul. 3 Maja 48;Trzcianne;podlaskie;Powiat moniecki
19-110;Poczta Goniądz, Pl. 11 Listopada 1;Goniądz;podlaskie;Powiat moniecki
19-111;Poczta Krypno Kościelne, ul. Krypno Kościelne 23 A;Krypno Kościelne;podlaskie;Powiat moniecki
19-120;Poczta Knyszyn, ul. 1 Maja 10;Knyszyn;podlaskie;Powiat moniecki
19-122;Poczta Jasionówka, ul. Białostocka 25;Jasionówka;podlaskie;Powiat moniecki
19-124;Poczta Jaświły, ul. Jaświły 20;Jaświły;podlaskie;Powiat moniecki
19-200;Poczta Grajewo 001, ul. Józefa Piłsudskiego 12;Grajewo;podlaskie;Powiat grajewski
19-200;Skrytki Pocztowe Poczta Grajewo 001, ul. Józefa Piłsudskiego 12;Grajewo;podlaskie;Powiat grajewski
19-203;Poczta Grajewo 004, Osiedle Południe 28 A;Grajewo;podlaskie;Powiat grajewski
19-203;Skrytki Pocztowe Poczta Grajewo 004, Osiedle Południe 28 A;Grajewo;podlaskie;Powiat grajewski
19-206;Poczta Rajgród, ul. Zabielskiego 6;Rajgród;podlaskie;Powiat grajewski
19-212;Poczta Agencja Pocztowa Białaszewo, ul. Kopernika 22;Białaszewo;podlaskie;Powiat grajewski
19-213;Poczta Radziłów, Pl. 500 Lecia 9;Radziłów;podlaskie;Powiat grajewski
19-222;Poczta Wąsosz Grajewski, ul. 11 Listopada 29;Wąsosz;podlaskie;Powiat grajewski
19-230;Poczta Szczuczyn Białostocki, ul. Kilińskiego 61;Szczuczyn;podlaskie;Powiat grajewski
19-300;Poczta Ełk 001, ul. Chopina 1;Ełk;warmińsko-mazurskie;Powiat ełcki
19-300;Skrytki Pocztowe Poczta Ełk 001, ul. Chopina 1;Ełk;warmińsko-mazurskie;Powiat ełcki
19-301;Poczta Ełk 003, ul. Jana Pawła II 3 B;Ełk;warmińsko-mazurskie;Powiat ełcki
19-302;Poczta Filia UP Ełk 001, ul. Kościuszki 1;Ełk;warmińsko-mazurskie;Powiat ełcki
19-303;Poczta Ełk 005, ul. Sikorskiego 3A;Ełk;warmińsko-mazurskie;Powiat ełcki
19-303;Skrytki Pocztowe Poczta Ełk 005, ul. Sikorskiego 3A;Ełk;warmińsko-mazurskie;Powiat ełcki
19-304;Poczta Ełk 006, ul. Kilińskiego 40;Ełk;warmińsko-mazurskie;Powiat ełcki
19-304;Skrytki Pocztowe Poczta Ełk 006, ul. Kilińskiego 40;Ełk;warmińsko-mazurskie;Powiat ełcki
19-305;Poczta Ełk 007, ul. Grota Roweckiego 1;Ełk;warmińsko-mazurskie;Powiat ełcki
19-314;Poczta Kalinowo, ul. Mazurska 8;Kalinowo;warmińsko-mazurskie;Powiat ełcki
19-330;Poczta Stare Juchy, ul. Klejowa 1;Stare Juchy;warmińsko-mazurskie;Powiat ełcki
19-335;Poczta Prostki, ul. 1 Maja 43;Prostki;warmińsko-mazurskie;Powiat ełcki
19-400;Poczta Olecko 001;Olecko;warmińsko-mazurskie;Powiat olecki
19-401;Poczta Olecko 003;Olecko;warmińsko-mazurskie;Powiat olecki
19-402;Poczta Olecko 004;Olecko;warmińsko-mazurskie;Powiat olecki
19-404;Poczta Wieliczki, ul. Tunelowo 6;Wieliczki;warmińsko-mazurskie;Powiat olecki
19-411;Poczta Świętajno koło Olecka;Świętajno;warmińsko-mazurskie;Powiat olecki
